order_id,num_products,kg,un,on_demand,total_minutes,seniority,found_rate,picking_speed,accepted_rate,rating,promised_weekday,promised_weekofyear,promised_hour,promised_minute,promised_weekhour,haversine_distance
9a949e13285d03e46f7469aabbcc4498,4,,4.0,1,46.7452021666667,3,0.8136,2.0,0.9,5.0,5,42,1,28,121,1.1412854925375802
b5bbab9b0a4d1ad3536df0c721e47e6c,36,1.2,72.0,1,106.170428933333,1,0.8691,1.28,1.0,4.79,5,42,17,15,137,3.6314078105660528
66ca2e44dfe16d3245876868fa2d0115,3,,5.0,0,41.7351265666667,3,0.8711,3.0,0.88,4.96,4,42,21,0,117,3.348587572081479
39e2597f676a9a45059c1bf5d8f9e77f,22,3.676,43.0,0,83.7834655166667,1,0.8495,1.27,0.92,4.96,5,42,1,0,121,3.686047851102712
53f3dedb3aae3eccdbbfa23f00a10f71,5,,20.0,1,39.5683672166667,2,0.8855,1.42,0.8,4.96,4,42,22,11,118,1.0084109344278855
2aabce76e7f3589f3621d062da387b73,15,1.4,31.0,1,95.77381125,1,0.8420000000000001,1.33,0.96,5.0,4,42,20,12,116,4.22735471873103
d444671a2b602b1a434aa7edfc4335e9,21,1.7,30.0,1,75.7113294666667,1,0.8154,1.93,0.88,4.92,4,42,23,10,119,4.362071392797281
761dc4d97e5f83a33110e08f4a1732ee,1,,1.0,0,87.4626880166667,3,,2.19,1.0,4.86,5,42,0,0,120,5.334333007303515
336ac8d2211e42484f0dead7a1aa0413,8,,10.0,1,42.443494866666704,3,0.8474,2.29,0.96,4.92,4,42,20,42,116,3.819724680245027
78451ae00482850db19e488eca9c9140,2,,14.0,1,81.8040586666667,3,0.8208,1.87,0.96,5.0,4,42,22,14,118,3.1010984603243665
4cafbb2201b7e1bb2d8da2ac83fc9815,22,1.6,25.0,1,74.3217461666667,3,0.8319,1.86,0.88,5.0,5,42,16,6,136,0.8405752528012063
57549b0c9fc659beb8bb40a143089790,15,,46.0,0,54.4982759666667,1,0.8376,1.55,1.0,4.96,5,42,17,0,137,3.230890208162179
59040e6c158670034d776cb1965aa8dc,2,,18.0,1,45.52387305,1,0.8493,1.93,1.0,5.0,4,42,22,29,118,4.686935288228497
199e717c0d9264c3333459c826ec084d,3,1.3,2.0,1,71.16391115,1,0.845,2.0,0.96,4.68,4,42,22,14,118,1.060180834994799
cf609c37a40bc3df15ee5b7483fc89cc,16,1.67,22.0,0,89.1937828666667,1,0.8758,1.27,0.96,4.84,5,42,17,0,137,4.600357565403767
c8ef4c5705666f6faa37c607bc7adbdc,1,,1.0,1,26.7052560166667,2,0.8368,2.4,1.0,5.0,4,42,19,24,115,1.937260235495893
7eadce1dd6fab2dfada1e886d1e7a9ff,41,1.62,84.0,0,121.46213799999998,1,0.9112,1.23,0.88,5.0,5,42,19,0,139,4.90260531546796
097c6b755d8f3deba6af1cb7a3d2e4c5,4,,5.0,0,51.79357975,1,0.8848,1.4,0.88,4.76,5,42,20,0,140,7.174145976656471
0004a3841c1eeb6c6e77585a941c21e0,4,,8.0,1,39.0014637666667,3,0.8473,2.3,0.92,4.88,4,42,20,18,116,0.4812181608681743
6f32a0ac685cfd4bdee953c0107b50e9,10,0.1,30.0,1,55.0250161,1,0.8758,1.55,0.92,4.84,5,42,15,52,135,4.030888844896029
7bea422d074800b312caf36c70ada357,24,0.334,41.0,0,148.574818483333,3,0.826,2.83,0.92,4.88,5,42,1,0,121,0.795920300098215
f225b9baef1aacb832897afabd31c929,7,,15.0,1,50.077156833333305,3,0.8409,2.33,0.92,4.72,4,42,20,47,116,3.473333398867976
d860424bf1fa61669749a39454eba6a1,30,,71.0,0,71.4046964333333,2,0.894,1.55,0.84,5.0,5,42,2,0,122,2.166017620254466
e5da73886a5c9699f81b16b5212487b6,2,,2.0,0,58.5985012,3,0.8562,2.37,0.92,4.76,5,42,17,0,137,2.491247533257336
64895839af3817fc1229f0c4988b0f06,16,1.67,23.0,0,60.7518418833333,1,0.8955,1.08,0.92,4.72,5,42,17,0,137,3.0203846554438245
006f65addd7da4c53e3f1a2a348e3415,53,4.885,80.0,0,125.2720689,1,0.8042,1.45,0.96,4.92,4,42,22,0,118,3.8760508230290807
161a2757aabaa2391a0edfabcef78d8a,14,4.885,16.0,1,143.64559905,1,0.8721,1.45,1.0,4.8,4,42,23,21,119,0.670178150641636
1d83e461ef77ad9523f99586a68e2995,17,0.584,40.0,0,73.9606700833333,1,0.8754,0.96,0.88,5.0,5,42,19,0,139,2.428522530110257
7de67d2fc6f21180c0d7263b962fa708,6,,11.0,0,51.7192185166667,1,0.879,1.46,1.0,4.76,5,42,19,0,139,2.153616931276062
8960bd5d95dce49086752dce1be66ca4,41,7.15,71.0,0,177.870531283333,2,0.8655,2.43,0.84,4.88,5,42,20,0,140,3.23775378078267
be17c924a063df5cffa27ae026f2ca12,7,1.3019999999999998,8.0,0,84.5094471666667,3,0.8541,1.59,0.96,4.96,5,42,0,0,120,1.4835122398239056
b28fbd97c389b95852e78438e5955bf8,9,,17.0,1,41.85832415,1,0.8959999999999999,1.03,1.0,4.88,4,42,21,47,117,0.7549597782466969
eb817e0221bd04578b7b9e040b1e8717,8,,15.0,1,65.8985575,3,0.8711,3.0,0.88,4.96,4,42,19,16,115,1.274591312501935
1446b3bb0efe4968dec1e92865a3c29d,1,,1.0,0,51.0109377666667,2,0.8268,1.46,0.8,4.84,4,42,22,0,118,2.5617232775895555
32c5c81115d9e1efc63c35fef7270a1c,21,,28.0,0,100.340188183333,3,0.8418,2.09,0.92,5.0,5,42,20,0,140,1.1521395380773316
188dd8e022fdd5e3e52100793b091c25,15,3.575,23.0,0,74.85488985,3,0.8257,2.0,0.92,4.8,5,42,14,0,134,0.9197733315823183
8aad1a08218c5eb5afdae0f8fce67413,8,2.9400000000000004,3.0,0,67.8312922333333,1,0.8421,2.0,1.0,4.96,5,42,16,0,136,3.2344425874952196
1ab7375f9376c91e89a4cc0db710856d,17,0.852,21.0,0,114.64533616666701,1,0.8509,1.55,0.88,4.96,5,42,18,0,138,2.755064374539565
42b5c472f33f79ef739ab897e726a091,22,0.166,35.0,1,104.426248516667,1,0.8772,1.11,0.92,4.92,5,42,18,31,138,2.488590512707063
a08e8057c7f2caadd14dff963d633502,44,,160.0,1,92.686997,1,0.8493,1.3,0.92,4.84,5,42,17,1,137,2.8965099396068674
0c63d6f27818ab5599073ffbe4ff4847,14,,21.0,0,40.9258089833333,2,0.8190000000000001,1.29,0.8,4.8,5,42,19,0,139,3.6918098976966944
9603cd11a1233c5b17f6c6f7b4c12124,15,,23.0,1,111.981629383333,3,0.8283,2.11,0.92,5.0,4,42,22,17,118,2.119102293831008
c87b88526c9f8f2c23f673251e3f47be,34,1.3,83.0,1,85.16064286666669,1,0.877,1.94,0.96,4.8,5,42,17,32,137,0.2677275580212324
27b06093a2dac681ef3b6b0b35dd33bb,3,,3.0,1,75.8552975333333,2,0.851,1.5,0.84,4.84,4,42,21,45,117,2.1364837489012816
8ec4a16b38062049686affbac22da1f7,54,7.7,85.0,0,124.6532081,1,0.8876,1.41,0.88,4.96,5,42,20,0,140,2.1671027806660255
872e2400726913eab6e593be76fe1ee0,39,,95.0,0,90.9109845166667,1,0.8894,1.25,1.0,4.92,4,42,23,0,119,2.868392220554468
5f706be04091a8e1cf4711ef90f40e28,5,,9.0,0,67.8951338666667,2,0.8403,4.07,0.68,4.92,5,42,19,0,139,5.614035359972257
d853a9af11f53774c3cc4dedd83e275e,13,,25.0,1,56.5455929333333,2,0.8523,1.54,0.68,4.8,5,42,22,3,142,1.278115819041629
52f2925c1f07ab337e8b5bcd79672c8f,14,,24.0,0,54.1731699333333,1,0.867,1.28,0.96,5.0,5,42,19,0,139,1.3218357879181366
73567f30b3465338dbc1f66f61481345,13,0.755,18.0,0,76.39855875,2,0.8629,1.55,0.84,4.88,5,42,2,0,122,2.4305038209267833
c09b7694079f36909fb5d3ba66fdd447,8,2.195,7.0,1,111.25833065,3,0.8675,2.86,1.0,4.84,4,42,22,4,118,2.3881098449945717
9a743fe57c1bbb90b679614096689db4,33,2.2,46.0,1,88.2485354833333,1,0.8789,1.85,0.92,4.84,5,42,14,34,134,12.035126374657814
5ac586d62d426b63d8d2fb0f9ca63135,2,,2.0,1,28.74738785,3,0.8324,2.6,0.88,4.96,4,42,23,21,119,1.4623598904504749
55051b87f4345867316d69ae15eb4984,29,5.8839999999999995,59.0,0,73.81868405,4,,2.19,1.0,,5,42,21,0,141,1.524709497342695
a8329fc6065ec47eefdf97d83a518df2,2,,4.0,0,75.2028609166667,1,0.883,1.22,1.0,4.72,5,42,20,0,140,1.6154521394471968
bb5eedcab64bf9a7816d17b0acba7e75,6,,7.0,1,35.2039671666667,2,0.8756,1.38,0.84,4.92,5,42,15,11,135,1.3292852494101366
c63cfa783ff6ea9a5577ff0b513e4297,72,16.633999999999997,116.0,0,116.6312868,1,0.8658,1.3,0.96,4.92,5,42,1,0,121,1.9053717457007266
9f1ad7074668fe55362e339f7b5d444c,11,,46.0,0,51.463805233333304,1,0.8765,1.52,1.0,4.96,5,42,16,0,136,0.9113565507538638
6710906c6d60a78bec134d18634cd4e9,26,1.664,37.0,0,99.83990458333332,1,0.8862,1.56,1.0,5.0,5,42,14,0,134,1.5524696390474468
7e7dedba8161579c80f56fecb33a8eb9,14,4.928,28.0,0,58.8405929,1,0.8365,1.37,1.0,4.68,4,42,23,0,119,1.4618967915907322
a052ea3aefd8e79ace1fcb1c67d1768b,2,,18.0,0,69.9539980333333,1,0.8788,1.56,1.0,4.8,5,42,19,0,139,3.857249396993736
e21c01ee7b5f29e9e7ac586c50785405,27,8.965,57.0,0,106.59429256666701,1,0.8356,0.73,1.0,4.92,5,42,14,0,134,4.4202314951870605
d9518ae6b613a5d5c8f0941424365ad8,2,,2.0,0,91.7769520333333,2,0.8264,4.31,0.96,4.78,5,42,16,0,136,4.904537282718183
e16e7a8e69826fc5429fd59ee5e72810,18,,21.0,1,128.9822813,1,0.8989,1.1,0.96,4.8,4,42,22,13,118,1.1367314314740322
